negLL,learning_rate,initial_alpha,subject,bic_scores
7.54571816,0.334736816,0.862631479,MS009,14.08588519
14.92008358,0.126663339,0.533262286,MS011,32.68727648
8.558597683,0.426187433,0.294039445,MS012,14.42712035
13.19461862,0.165594736,0.677945156,MS014,25.37678258
17.94974084,0.061803638,0.119381473,MS015,38.19558434
11.41035516,0.217842437,0.156866434,MS016,13.94347316
10.35618836,0.265744971,0.524478452,MS017,33.15781344
10.33051499,0.251297838,0.204727416,MS019,23.04250801
8.000241514,0.286262133,0.203202922,MS020,17.09749227
15.04892397,0.14676205,0.132415355,MS022,31.65691856
11.37276037,0.270789988,0.536689426,MS023,27.72223783
7.973694991,0.367362638,0.658780345,MS024,27.05943158
9.047450403,0.333957756,0.316328761,MS025,22.66198013
11.80149681,0.182517187,0.308342192,MS026,29.53735577
6.400577503,0.491120646,0.873080249,MS027,13.5062188
11.2960893,0.218318531,0.610047322,MS028,21.42374398
14.27303872,0.179960952,0.39444436,MS030,37.31898559
9.801825326,0.350559901,0.558646288,MS033,21.72997679
7.519890103,0.34510239,0.365619813,MS035,18.15155819
14.8607108,0.128665927,0.249442855,MS036,32.8365362